,Park,HOUSE_NUMBER,STREET_ADDRESS,Suburb_x,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area,Affenpinscher,Afghan Hound,Airedale Terrier,Akita,Akita (Japanese),Alaskan Malamute,American Hairless Terrier,American Staffordshire Terrier,Anatolian Shepherd Dog,Australian Cattle Dog,Australian Kelpie,Australian Koolie,Australian Shepherd,Australian Silky Terrier,Australian Staghound,Australian Stumpy Tail Cattle Dog,Australian Terrier,Basenji,Basset Fauve de Bretagne,Basset Hound,Beagle,Bearded Collie,Bedlington Terrier,Belgian Shepherd,Belgian Shepherd Dog,Bernese Mountain Dog,Bichon Frise,Black Russian Terrier,Bloodhound,Bluetick Coonhound,Border Collie,Border Terrier,Borzoi,Boston Terrier,Bouvier des Flandres,Boxer,Bracco Italiano,Briard,British Bulldog,Brittany,Bull Arab,Bull Terrier,Bull Terrier (Miniature),Bulldog,Bullmastiff,Cairn Terrier,Canaan Dog,Canadian Eskimo Dog,Cane Corso,Cavalier King Charles Spaniel,Central Asian Shepherd Dog,Chesapeake Bay Retriever,Chihuahua,Chihuahua (Long Coat),Chihuahua (Smooth Coat),Chinese Crested Dog,Chow Chow,Clumber Spaniel,Cocker Spaniel,Cocker Spaniel (American),Collie (Rough),Collie (Smooth),Coton De Tulear,Curly Coated Retriever,Dachshund,Dalmatian,Dandie Dinmont Terrier,Deerhound,Dobermann,Dogue de Bordeaux,Dutch Shepherd Dog,English Setter,English Springer Spaniel,English Toy Terrier,Eurasier,Field Spaniel,Finnish Lapphund,Finnish Spitz,Flat Coated Retriever,Fox Terrier,Fox Terrier (Smooth),Fox Terrier (Wire),Foxhound,French Bulldog,German Hunting Terrier,German Pinscher,German Shepherd Dog,German Shepherd Dog (Long Stock Coat),German Shorthaired Pointer,German Spitz,German Wirehaired Pointer,Glen of Imaal Terrier,Golden Retriever,Gordon Setter,Grand Basset Griffon Vendeen,Great Dane,Greyhound,Griffon Bruxellois,Hamiltonstovare,Harrier,Havanese,Hungarian Vizsla,Ibizan Hound,Irish Red and White Setter,Irish Setter,Irish Terrier,Irish Wolfhound,Italian Corso Dog,Italian Greyhound,Italian Spinone,Jack Russell Terrier,Japanese Chin,Japanese Spitz,Kangal Dog,Keeshond,Kerry Blue Terrier,King Charles Spaniel,Kuvasz,Labrador Retriever,Lagotto Romagnolo ,Lakeland Terrier,Large Cross Breed,Large Munsterlander,Leonberger,Lhasa Apso,Lowchen,Maltese,Manchester Terrier,Maremma Sheepdog,Mastiff,Medium Cross Breed,Miniature Pinscher,Neapolitan Mastiff,Newfoundland,Norfolk Terrier,Norwegian Elkhound,Norwich Terrier,Nova Scotia Duck Tolling Retriever,Old English Sheepdog,Papillon,Parson Russell Terrier,Pekingese,Petit Basset Griffon Vendeen,Pharaoh Hound,Pointer,Polish Lowland Sheepdog,Pomeranian,Poodle,Poodle (Miniature),Poodle (Standard),Poodle (Toy),Portuguese Podengo,Portuguese Water Dog,Pug,Puli,Pyrenean Mountain Dog,Rhodesian Ridgeback,Rottweiler,Rough Collie,Russian Black Terrier,Russian Toy (Russkiy Toy) (Smooth Haired),Saluki,Samoyed,Schipperke,Schnauzer,Schnauzer (Giant),Schnauzer (Miniature),Scottish Terrier,Sealyham Terrier,Shar Pei,Shetland Sheepdog,Shiba Inu,Shih Tzu,Siberian Husky,Skye Terrier,Small Cross Breed,Smooth Collie,Soft Coated Wheaten Terrier,St Bernard,Staffordshire Bull Terrier,Stag Hound,Sussex Spaniel,Swedish Lapphund,Swedish Vallhund,Tenterfield Terrier,Tibetan Mastiff,Tibetan Spaniel,Tibetan Terrier,Unknown,Weimaraner,Welsh Corgi,Welsh Corgi (Cardigan),Welsh Corgi (Pembroke),Welsh Springer Spaniel,Welsh Terrier,West Highland White Terrier,Whippet,White Swiss Shepherd Dog,Yorkshire Terrier,Suburb_y,Address,dog area
52,EVERGREEN PLACE PARK,41,ROSEWOOD PLACE,MURARRIE,4172,153.092061978821,-27.4646170951125,1436.14044566172,51231.65354158731,0,0,0,0,0,1,0,22,0,19,10,1,1,7,0,0,1,0,0,2,9,0,0,1,0,0,6,0,0,0,26,0,0,0,0,9,0,0,1,0,6,1,0,2,5,0,0,0,0,37,0,0,6,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,8,0,2,0,0,0,12,0,0,3,4,0,0,0,0,2,0,0,0,0,4,0,0,0,17,0,4,0,0,0,3,0,51,0,0,1,0,0,4,0,37,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,3,27,3,0,1,0,0,10,0,0,6,8,1,0,0,1,2,0,6,0,2,0,0,4,0,0,9,6,0,1,0,0,0,43,0,0,0,0,1,0,1,0,2,1,3,0,0,0,0,9,6,0,0,Murarrie,"Evergreen Place Park, 41 Rosewood Place, Murarrie",y
53,KERYN PLACE PARK,61,MUNGARIE STREET,KEPERRA,4054,152.945590178679,-27.420936767441003,538.160290751072,13107.7631701036,0,1,0,2,0,2,0,23,0,40,56,0,1,6,0,1,4,0,0,1,11,0,0,5,0,0,4,0,0,0,61,0,0,4,0,19,0,0,2,2,7,4,1,2,4,1,0,0,2,26,0,0,20,1,1,2,1,0,14,0,0,0,0,0,20,2,0,0,3,1,1,0,4,0,0,0,1,0,0,19,0,2,0,7,0,0,33,2,6,1,0,0,14,0,0,5,12,0,0,0,0,4,0,0,0,2,2,0,0,0,16,0,0,0,0,0,4,0,76,1,0,0,0,0,2,0,53,0,0,6,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,8,21,8,1,1,0,0,13,1,0,4,17,0,0,0,0,2,0,6,0,3,1,0,5,2,0,21,12,0,2,0,0,0,86,1,0,0,0,6,0,5,1,8,0,2,0,1,0,0,4,5,0,3,Keperra,"Keryn Place Park, 46 Mungarie Street, Keperra",y
54,DASH STREET PARK,32,DUGGAN STREET,KEPERRA,4054,152.955452428281,-27.4090919805399,1063.09106132069,35323.0441004541,0,1,0,2,0,2,0,23,0,40,56,0,1,6,0,1,4,0,0,1,11,0,0,5,0,0,4,0,0,0,61,0,0,4,0,19,0,0,2,2,7,4,1,2,4,1,0,0,2,26,0,0,20,1,1,2,1,0,14,0,0,0,0,0,20,2,0,0,3,1,1,0,4,0,0,0,1,0,0,19,0,2,0,7,0,0,33,2,6,1,0,0,14,0,0,5,12,0,0,0,0,4,0,0,0,2,2,0,0,0,16,0,0,0,0,0,4,0,76,1,0,0,0,0,2,0,53,0,0,6,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,8,21,8,1,1,0,0,13,1,0,4,17,0,0,0,0,2,0,6,0,3,1,0,5,2,0,21,12,0,2,0,0,0,86,1,0,0,0,6,0,5,1,8,0,2,0,1,0,0,4,5,0,3,Keperra,"Dash Street Park, 32 Duggan Street, Keperra",y
55,DECKER PARK,18,TWENTY-FIFTH AVENUE,BRIGHTON,4017,153.064186438955,-27.2859498935103,1376.68993394739,58528.9703398551,0,1,2,2,0,1,0,34,0,55,68,0,9,7,0,0,4,0,0,2,16,1,0,4,0,1,7,0,0,1,99,1,0,2,0,17,0,0,8,1,27,6,0,4,8,3,0,0,0,52,0,0,23,2,0,1,0,0,28,0,0,0,0,0,45,6,0,0,5,1,0,0,6,2,0,0,0,0,0,51,1,1,0,8,0,0,36,0,0,1,1,0,44,0,0,20,21,0,0,0,1,6,0,0,2,0,9,0,0,0,44,0,1,0,1,1,4,0,131,0,1,1,0,0,10,0,79,0,3,10,5,3,6,0,0,0,0,0,0,5,0,1,0,0,1,0,9,62,6,1,6,0,0,17,0,0,16,12,2,0,0,0,1,1,5,0,4,1,0,3,0,0,44,5,0,1,0,0,2,117,0,0,0,0,10,0,10,0,5,0,1,0,1,0,0,12,6,0,2,Brighton,"Decker Park, 18 Twenty-Fifth Avenue, Brighton",y
56,VECTIS STREET PARK,31,HALIFAX STREET,NORMAN PARK,4170,153.059107324932,-27.481011239057104,1281.1279790905,49680.949993296905,0,0,4,0,0,0,0,9,0,14,24,0,1,5,0,1,2,0,0,0,10,1,0,0,0,1,9,0,0,0,61,1,0,3,0,8,0,3,4,0,6,3,0,2,3,2,0,0,0,53,0,0,7,1,0,0,2,0,19,0,0,0,0,0,24,2,0,0,3,2,0,0,1,0,0,2,0,0,0,18,0,1,0,8,0,0,13,0,2,0,0,0,30,0,0,6,5,1,0,0,0,2,0,0,0,1,2,0,4,0,10,0,2,1,0,0,3,0,81,3,1,1,0,0,3,1,28,1,3,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,6,33,7,0,8,0,2,4,0,0,7,17,4,0,0,0,1,0,8,0,4,2,0,2,0,1,8,6,0,2,1,0,2,44,0,0,0,0,2,0,1,0,1,2,1,0,1,0,0,15,3,1,0,Norman Park,"Vectis Street Park, 165 Norman Avenue, Norman Park",y
57,PALLARA PARK,380,GOODERHAM ROAD,WILLAWONG,4110,153.011857750625,-27.6113825412389,1779.04889738108,163669.346214642,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Willawong,"Pallara Park, 380 Gooderham Road, Willawong",y
58,BILL LAMOND PARK,34,ANDREW STREET,LOTA,4179,153.186577415225,-27.4723497307721,1378.49410653502,55265.884872493,0,0,1,0,0,0,0,6,0,18,20,2,1,3,0,0,2,0,0,0,9,0,0,1,0,0,3,0,0,0,37,0,0,1,0,5,0,0,1,0,7,3,0,0,0,1,0,0,0,15,0,0,8,0,0,0,0,0,7,0,0,0,0,0,13,3,0,0,3,1,0,0,0,1,0,0,1,0,1,8,1,0,0,1,0,0,11,0,2,0,1,0,4,0,0,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,2,0,40,0,0,0,0,0,6,0,29,0,0,0,2,0,1,1,0,0,1,0,0,3,0,0,0,0,1,0,0,27,1,0,1,0,0,6,0,0,5,7,0,0,0,1,0,0,2,0,4,0,0,0,0,0,11,3,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,5,0,1,Lota,"Bill Lamond Park, 34 Andrew Street, Lota",y
59,EDENBROOKE PARK,97,EDENBROOKE DRIVE,SEVENTEEN MILE ROCKS,4073,152.951602094,-27.554361759000003,6466.019121492111,272130.019606231,0,0,0,0,1,0,0,7,0,15,8,0,0,2,0,1,1,0,0,0,7,1,0,0,0,0,3,0,0,0,13,0,0,0,0,6,0,0,1,0,1,1,0,0,0,1,0,0,0,16,0,0,5,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,1,11,0,0,0,4,0,0,9,0,0,0,0,0,14,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,34,0,0,0,0,0,2,0,22,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,7,6,0,0,0,0,0,21,0,0,0,0,4,0,1,0,3,0,1,0,0,1,0,2,4,0,1,Seventeen Mile Rocks,"Edenbrooke Park, 161 Bellwood Street, Seventeen Mile Rocks",y
60,DELAPINE PLACE PARK,6,DELAPINE PLACE,SEVENTEEN MILE ROCKS,4073,152.96071661965098,-27.5470004962721,379.783007484608,3920.0360547975106,0,0,0,0,1,0,0,7,0,15,8,0,0,2,0,1,1,0,0,0,7,1,0,0,0,0,3,0,0,0,13,0,0,0,0,6,0,0,1,0,1,1,0,0,0,1,0,0,0,16,0,0,5,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,1,11,0,0,0,4,0,0,9,0,0,0,0,0,14,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,34,0,0,0,0,0,2,0,22,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,7,6,0,0,0,0,0,21,0,0,0,0,4,0,1,0,3,0,1,0,0,1,0,2,4,0,1,Seventeen Mile Rocks,"Delapine Place Park, 6 Delapine Place, Seventeen Mile Rocks",y
61,SUNSET PARK,30,MONOPLANE STREET,ASHGROVE,4060,152.97291830664,-27.4520308087044,1449.80367541003,78624.55431084559,1,0,3,2,0,0,0,10,0,40,55,2,3,8,0,1,5,2,0,0,33,1,0,4,0,1,24,0,0,0,87,3,0,5,0,15,0,0,11,0,7,6,0,0,2,3,0,0,0,106,0,0,12,2,2,0,0,0,57,2,0,1,0,0,36,11,0,0,4,1,0,0,8,0,0,0,1,0,2,28,2,0,0,13,0,1,33,0,6,1,1,0,92,0,0,14,11,2,0,0,4,4,0,0,1,0,1,0,1,0,35,0,1,0,1,0,11,0,180,2,0,3,0,0,10,2,87,1,1,2,3,1,0,0,0,0,1,0,7,2,0,1,0,0,6,0,5,97,11,6,14,0,5,12,0,0,24,7,1,0,0,1,1,0,39,0,8,1,0,3,3,1,29,2,0,1,1,1,0,71,0,0,0,0,4,0,5,0,4,4,2,0,2,0,1,15,8,0,0,Bardon,"Sunset Park, 105 Barnett Road, Bardon",y
62,CURLEW PARK,74,CURLEW STREET,SANDGATE,4017,153.07280798701902,-27.325580235213398,3525.6741216847795,274720.090467282,0,0,4,1,0,0,0,6,0,21,30,2,2,8,0,0,2,0,0,0,8,0,0,2,0,0,2,0,0,0,34,1,0,3,0,3,1,0,4,0,7,5,0,1,1,3,0,0,0,23,0,0,5,0,1,1,3,0,16,0,0,1,0,0,9,1,0,0,2,0,0,0,2,0,0,0,0,0,0,19,1,0,0,2,0,0,15,0,4,1,1,0,20,0,0,2,9,0,0,1,0,3,0,0,0,1,3,0,0,0,17,0,0,0,0,0,3,0,55,2,0,0,0,0,11,0,36,1,1,6,1,0,0,1,0,0,0,0,2,1,0,0,0,0,4,0,6,40,1,1,2,0,1,5,1,0,9,6,1,0,0,0,1,0,18,0,5,2,0,2,1,0,15,5,0,0,0,2,0,38,2,0,0,0,0,0,2,0,6,1,1,0,0,1,0,7,1,0,1,Sandgate,"Curlew Park, 74 Curlew Street, Sandgate",y
63,BOYD PARK,11,BOYD ROAD,NUNDAH,4012,153.05710735615,-27.4009993327873,816.360156419289,36856.28834919,0,4,1,0,0,3,0,14,0,13,23,2,2,9,0,3,2,2,0,0,19,0,0,0,0,1,4,1,0,0,51,1,0,5,0,5,0,0,7,0,11,3,0,3,2,0,0,0,0,46,0,0,15,1,0,0,1,0,16,2,0,0,0,2,33,0,0,0,4,3,0,0,1,0,0,0,0,0,0,28,1,0,1,12,0,0,16,0,2,0,0,0,22,0,0,1,9,1,0,0,1,1,1,0,0,0,1,0,0,0,34,0,4,0,1,0,7,0,68,1,1,1,1,0,9,0,62,0,1,3,2,0,1,0,0,0,1,0,0,4,0,0,0,0,1,0,11,36,5,0,6,0,1,12,0,0,5,9,1,0,0,1,0,0,13,0,2,0,0,6,1,4,24,2,1,1,0,0,0,47,0,0,0,0,4,0,4,1,7,1,2,0,2,0,0,16,8,0,4,Nundah,"Boyd Park, 11 Boyd Road, Nundah",y
64,ALBERT BISHOP PARK,78,HEDLEY AVENUE,NUNDAH,4012,153.069967673947,-27.4062951885826,3453.93197178297,290720.906185686,0,4,1,0,0,3,0,14,0,13,23,2,2,9,0,3,2,2,0,0,19,0,0,0,0,1,4,1,0,0,51,1,0,5,0,5,0,0,7,0,11,3,0,3,2,0,0,0,0,46,0,0,15,1,0,0,1,0,16,2,0,0,0,2,33,0,0,0,4,3,0,0,1,0,0,0,0,0,0,28,1,0,1,12,0,0,16,0,2,0,0,0,22,0,0,1,9,1,0,0,1,1,1,0,0,0,1,0,0,0,34,0,4,0,1,0,7,0,68,1,1,1,1,0,9,0,62,0,1,3,2,0,1,0,0,0,1,0,0,4,0,0,0,0,1,0,11,36,5,0,6,0,1,12,0,0,5,9,1,0,0,1,0,0,13,0,2,0,0,6,1,4,24,2,1,1,0,0,0,47,0,0,0,0,4,0,4,1,7,1,2,0,2,0,0,16,8,0,4,Nundah,"Albert Bishop Park, 40 Hendley Avenue, Nundah",y
65,NORTHGATE RESERVE,672,NUDGEE ROAD,NORTHGATE,4013,153.070131939,-27.396790325999998,3220.8406657955397,116734.669189116,0,0,1,0,0,2,0,7,0,14,26,1,0,5,0,0,3,0,0,1,12,1,0,0,0,0,3,0,0,0,42,1,0,1,0,3,0,0,3,0,7,1,0,1,5,2,0,0,0,20,0,0,7,0,1,0,1,0,15,0,1,0,0,0,12,4,0,0,1,0,0,0,2,0,0,0,0,0,0,14,1,2,0,5,0,0,13,0,4,2,0,0,16,0,0,3,7,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,2,0,0,0,0,0,49,1,0,0,0,0,1,0,38,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,23,2,1,4,0,0,6,0,0,6,14,0,0,0,0,3,0,5,0,1,1,0,2,0,0,22,1,0,0,0,0,0,41,0,0,0,0,2,0,3,2,3,0,3,0,0,0,0,1,2,0,2,Northgate,"Northgate Reserve, 672 Nudgee Road, Northgate",y
66,ELANORA PARK,22,SAUNDERS PLACE,WYNNUM,4178,153.169613846761,-27.4292972154175,2575.15179326557,212544.78661781602,0,0,2,2,0,0,0,32,0,72,61,2,1,10,0,2,7,1,0,1,35,5,0,1,0,0,13,0,0,0,94,0,0,6,0,19,0,0,7,0,26,9,0,5,6,2,0,0,1,73,0,0,23,0,2,4,0,0,44,0,0,0,0,0,41,4,0,0,7,5,0,0,7,0,0,0,0,0,0,32,5,2,0,19,0,0,30,0,4,0,0,0,39,0,0,9,23,0,0,0,0,5,0,0,0,0,9,0,1,0,50,0,5,0,2,1,12,0,136,2,1,2,0,0,3,0,116,0,1,6,5,2,1,1,0,0,1,0,2,11,0,0,0,0,1,0,9,82,0,1,10,0,4,16,0,0,22,24,1,0,0,0,1,0,24,0,7,3,0,9,4,1,39,18,1,3,0,0,0,101,0,0,1,0,7,1,6,2,15,1,6,0,0,2,0,15,6,0,1,Wynnum,"Elanora Park, 22 Saunders Place, Wynnum",y
67,MARCHANT PARK,1105,GYMPIE ROAD,ASPLEY,4034,153.02984174485098,-27.375452216061,2854.2752925848604,395699.288789422,0,0,0,1,0,3,0,25,0,46,39,1,3,14,0,1,7,1,0,8,25,2,4,2,1,2,13,0,0,0,74,2,0,2,0,8,0,0,5,1,16,4,0,3,7,2,0,0,1,63,0,1,22,1,1,2,1,0,31,0,0,0,0,0,39,4,0,0,2,1,0,1,1,0,0,0,0,0,0,42,0,2,0,8,0,1,36,2,1,0,0,0,44,0,0,9,12,1,0,1,0,3,0,0,1,1,2,0,5,0,38,0,4,0,3,1,8,0,94,0,1,1,0,0,5,0,91,0,3,8,4,1,1,1,0,0,0,1,0,4,0,0,0,0,0,0,10,63,7,3,6,0,1,20,0,0,14,14,0,0,0,0,4,0,7,0,3,3,0,9,4,2,38,14,0,2,0,2,0,104,0,0,0,0,2,0,6,0,6,3,4,1,1,1,0,11,3,1,3,Aspley,"Marchant Park, 1105 Gympie Road, Aspley",y
68,RICHLANDS DEPOT PARK,48,GOVERNMENT ROAD,INALA,4077,152.958786338234,-27.600441685869697,749.985853541077,27858.1087130532,0,0,0,0,0,4,0,35,0,36,24,1,0,9,0,0,3,2,0,1,4,0,0,2,0,0,3,0,0,0,49,0,0,0,0,3,0,0,1,0,18,5,0,3,15,1,0,0,0,13,0,0,38,1,3,0,0,1,1,0,1,1,0,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,53,2,0,0,3,0,1,36,1,1,2,0,0,6,0,0,5,10,0,0,0,0,0,0,0,0,0,4,0,1,0,35,0,1,0,0,0,1,0,35,0,0,1,0,0,0,0,58,0,3,10,2,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,25,13,0,0,1,0,0,4,0,0,17,24,2,0,0,0,2,0,1,0,0,1,0,7,1,0,31,8,0,0,1,0,0,81,0,0,0,0,2,0,1,0,6,0,1,0,0,0,4,3,0,0,1,Inala,"Richlands Depot Park, 24 Government Road, Inala",y
69,KEV HOOPER MEMORIAL PARK,209,LAVENDER STREET,INALA,4077,152.973014323117,-27.5918717963291,2339.55693421356,145951.628385545,0,0,0,0,0,4,0,35,0,36,24,1,0,9,0,0,3,2,0,1,4,0,0,2,0,0,3,0,0,0,49,0,0,0,0,3,0,0,1,0,18,5,0,3,15,1,0,0,0,13,0,0,38,1,3,0,0,1,1,0,1,1,0,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,53,2,0,0,3,0,1,36,1,1,2,0,0,6,0,0,5,10,0,0,0,0,0,0,0,0,0,4,0,1,0,35,0,1,0,0,0,1,0,35,0,0,1,0,0,0,0,58,0,3,10,2,0,3,0,0,0,0,0,0,2,1,1,0,0,0,0,25,13,0,0,1,0,0,4,0,0,17,24,2,0,0,0,2,0,1,0,0,1,0,7,1,0,31,8,0,0,1,0,0,81,0,0,0,0,2,0,1,0,6,0,1,0,0,0,4,3,0,0,1,Inala,"Kev Hooper Memorial Park, 167 Lavender Street, Inala",y
70,SEDGLEY PARK,35,ALDERSON STREET,ALDERLEY,4051,153.006028167119,-27.4291611916602,1512.44976697889,66957.3880281499,0,0,0,0,0,0,0,9,0,22,20,1,3,1,0,1,1,2,0,3,23,0,1,1,0,0,8,0,0,0,44,1,1,4,0,3,0,0,3,1,2,3,0,1,4,0,0,0,0,53,0,0,6,0,0,1,1,0,24,0,0,2,0,0,19,4,0,0,2,3,1,0,1,0,0,0,1,0,0,7,1,0,0,8,0,0,6,1,7,2,0,0,30,1,0,4,4,1,0,0,1,4,0,0,0,1,2,0,2,0,20,0,0,0,0,0,6,0,61,0,1,0,0,0,6,1,40,0,2,0,1,0,2,1,0,0,0,0,1,2,0,1,0,0,2,0,6,51,6,3,5,0,0,5,0,0,8,6,0,0,0,1,1,1,11,0,2,2,0,1,3,0,13,2,0,2,0,1,1,33,0,0,0,0,2,0,1,0,2,0,1,0,0,0,1,6,3,0,0,Alderley,"Sedgley Park, 401 Enoggera Road, Alderley",y
71,WOLSTON CREEK BUSHLAND RESERVE,43,RIVERPOINT BOULEVARD,RIVERHILLS,4074,152.910879255601,-27.5650318605595,6559.174059189761,486901.067002471,0,0,0,0,0,0,0,7,0,20,14,1,1,3,0,0,3,0,0,1,8,0,0,5,0,1,2,0,0,0,30,1,0,0,0,8,0,0,1,0,5,0,0,2,4,1,0,0,0,16,0,0,13,0,0,0,0,0,9,0,0,0,0,0,13,4,0,0,2,1,0,0,1,0,0,0,0,0,0,14,0,0,0,3,0,0,23,1,1,1,0,0,13,0,0,8,5,0,0,0,0,2,0,0,0,0,2,0,0,0,10,0,1,0,1,0,3,0,44,0,0,0,0,0,0,0,31,0,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,2,16,2,0,3,0,0,5,0,0,5,3,0,0,0,2,0,2,4,0,1,0,0,0,0,1,17,7,0,0,0,0,0,33,0,0,0,0,1,0,0,0,5,0,4,0,0,0,0,2,5,1,1,Riverhills,"Wolston Creek Bushland Reserve, 69 Tomkins Road, Riverhills",y
72,TIGRIS STREET PARK,22,TIGRIS STREET,RIVERHILLS,4074,152.909115069629,-27.5581361383359,1179.98519382296,33533.6959159852,0,0,0,0,0,0,0,7,0,20,14,1,1,3,0,0,3,0,0,1,8,0,0,5,0,1,2,0,0,0,30,1,0,0,0,8,0,0,1,0,5,0,0,2,4,1,0,0,0,16,0,0,13,0,0,0,0,0,9,0,0,0,0,0,13,4,0,0,2,1,0,0,1,0,0,0,0,0,0,14,0,0,0,3,0,0,23,1,1,1,0,0,13,0,0,8,5,0,0,0,0,2,0,0,0,0,2,0,0,0,10,0,1,0,1,0,3,0,44,0,0,0,0,0,0,0,31,0,0,2,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,2,16,2,0,3,0,0,5,0,0,5,3,0,0,0,2,0,2,4,0,1,0,0,0,0,1,17,7,0,0,0,0,0,33,0,0,0,0,1,0,0,0,5,0,4,0,0,0,0,2,5,1,1,Riverhills,"Tigris Street Park, 22 Tigris Street, Riverhills",y
73,GREEN HILL RESERVOIR PARK,176,RUSSELL TERRACE,CHAPEL HILL,4069,152.95753912950002,-27.4955713651441,1438.81805020254,105277.25350621699,0,0,1,0,0,2,0,12,0,19,28,0,2,6,0,1,6,2,0,2,22,1,0,5,0,0,15,0,0,0,79,3,0,3,0,9,0,1,7,1,9,1,1,1,1,0,0,0,0,67,0,0,15,0,1,0,0,0,40,0,1,0,0,0,25,2,0,0,0,0,0,5,6,0,0,1,0,0,0,15,2,2,0,5,0,0,15,0,2,0,0,0,43,0,0,3,13,0,0,0,0,8,0,0,0,0,6,0,2,0,34,0,1,0,0,0,7,0,100,0,1,0,1,0,10,0,69,1,0,4,6,2,1,0,0,0,0,1,2,5,2,0,0,1,3,0,13,98,4,4,7,0,0,11,0,0,8,9,2,0,0,0,2,1,19,0,6,2,0,1,1,3,28,8,0,3,0,0,0,36,0,0,0,0,2,1,4,0,7,1,3,0,0,0,0,18,8,0,0,Chapel Hill,"Green Hill Reservoir Park, 206C Russell Terrace, Chapel Hill",y
74,CUBBERLA CREEK RESERVE,129,FIG TREE POCKET ROAD,CHAPEL HILL,4069,152.95242807256702,-27.5147826641754,1908.6020360252103,114753.57490447699,0,0,1,0,0,2,0,12,0,19,28,0,2,6,0,1,6,2,0,2,22,1,0,5,0,0,15,0,0,0,79,3,0,3,0,9,0,1,7,1,9,1,1,1,1,0,0,0,0,67,0,0,15,0,1,0,0,0,40,0,1,0,0,0,25,2,0,0,0,0,0,5,6,0,0,1,0,0,0,15,2,2,0,5,0,0,15,0,2,0,0,0,43,0,0,3,13,0,0,0,0,8,0,0,0,0,6,0,2,0,34,0,1,0,0,0,7,0,100,0,1,0,1,0,10,0,69,1,0,4,6,2,1,0,0,0,0,1,2,5,2,0,0,1,3,0,13,98,4,4,7,0,0,11,0,0,8,9,2,0,0,0,2,1,19,0,6,2,0,1,1,3,28,8,0,3,0,0,0,36,0,0,0,0,2,1,4,0,7,1,3,0,0,0,0,18,8,0,0,Chapel Hill,"Cubberla Creek Reserve, 129 Fig Tree Pocket Road, Chapel Hill",y
