OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
873,D1891,BANKSIA DRIVE RESERVE,B-RE-0605,48,BANKSIA DRIVE,MOUNT CROSBY,4306,152.816221183,-27.519353058,4309.15053978629,88603.6808638114
874,D1892,SKYLINE DRIVE PARK,B-RE-0604,80,SKYLINE DRIVE,KHOLO,4306,152.748146216583,-27.5314125153897,1628.35135294275,68613.3170756497
875,D1893,STUMERS ROAD RESERVE,B-RE-0603,770,MT CROSBY ROAD,MOUNT CROSBY,4306,152.804064082071,-27.53644451173,1915.30710581134,210682.728523061
876,D1894,PLATYPUS PARK,B-RE-0602,18,BANKSIA DRIVE,MOUNT CROSBY,4306,152.818071111,-27.524118232,778.739254658447,15165.0474846285
877,D1896,KHOLO BUSHLAND RESERVE,B-RE-0601,271A,LAKE MANCHESTER ROAD,KHOLO,4306,152.814391962707,-27.4903755207517,10630.7085798796,2759598.56163517
878,D1897,ILLAWONG RESERVE,B-RE-0600,73,COLLEGE ROAD,KARANA DOWNS,4306,152.818867825844,-27.5528406557141,3263.14973899466,143116.621566106
879,D1898,EMUNGERIE GROVE RESERVE,B-RE-0599,27A,EMUNGERIE GROVE,KARANA DOWNS,4306,152.813519536,-27.533343992,6952.0536138422,140156.540734947
880,D1900,BURRUN PARK,B-RE-0598,99,COLLEGE ROAD,KARANA DOWNS,4306,152.820890647294,-27.5491285841759,2324.75331562288,105679.637642996
881,D1901,KUPI PARK,B-RE-0597,58,TANDERRA WAY,KARANA DOWNS,4306,152.823349168962,-27.5404663621296,1640.02577573856,54333.5188768805
882,D1902,THOMAS McBRIDE PARK,B-RE-0596,290,EAGLE FARM ROAD,PINKENBA,4008,153.121706977799,-27.4186229633124,1413.92642085131,79041.4074018901
883,D1903,LOGAN ROAD PARK (NO. 2588),B-RE-0595,2588,LOGAN ROAD,EIGHT MILE PLAINS,4113,153.100948066,-27.580002051,1263.69935167581,33243.5280804089
884,D2392,POOH CORNER,B-RE-0347,100,WOLSTON ROAD,WACOL,4076,152.928253028439,-27.5753862276089,6196.37807541119,1374596.92457713
885,D2413,BOZZATO PLACE PARK,B-RE-0346,118,BOZZATO PLACE,KENMORE,4069,152.937014973843,-27.5033712531168,69.7458938304006,223.608201325093
886,D2432,GOODMAN PLACE PARK,B-RE-0345,168,MURARRIE ROAD,MURARRIE,4172,153.11009184756,-27.4638831929151,300.026135740652,2256.20895097456
887,D2452,BLUNDER CREEK RESERVE,B-RE-0344,1202,BLUNDER ROAD,DOOLANDELLA,4077,152.988652236259,-27.6173242719852,2834.76854450547,268750.356296943
888,D2472,MAIDSTONE STREET PARK,B-RE-0343,9,MAIDSTONE STREET,KELVIN GROVE,4059,153.01565801642,-27.454568079434,250.01333975973,2644.62745693317
889,D2473,MUSK AVENUE PARK,B-RE-0342,33,MUSK AVENUE,KELVIN GROVE,4059,153.014475996982,-27.4544302525481,213.064488641468,1757.63584005957
890,D2492,MERCURY STREET PARK,B-RE-0341,103,MERCURY STREET,MOGGILL,4070,152.869880782851,-27.5797790372059,548.895416369436,9450.06117674525
891,D2493,PAMIR STREET PARK,B-RE-0340,80,PAMIR STREET,NUDGEE,4014,153.088182422801,-27.3629522834861,491.94477643097,9149.76694452513
892,D2494,TANDAWANNA LANE PARK,B-RE-0339,23,TANDAWANNA LANE,FIG TREE POCKET,4069,152.96520059027,-27.5296064387128,274.382236985965,2127.07123685345
893,D2495,FABIAN PLACE PARK,B-RE-0338,27,FABIAN PLACE,BRACKEN RIDGE,4017,153.044550239003,-27.32694577341,296.205730117329,4098.64936535672
894,D2496,O'REILLY STREET PARK,B-RE-0337,10,O'REILLY STREET,WAKERLEY,4154,153.153840409252,-27.4776586767462,436.695438534132,9938.70878588553
895,D2512,CORONA AVENUE PARK,B-RE-0336,66,CORONA AVENUE,ASHGROVE,4060,152.999680768006,-27.4416087804649,268.54355738654,2339.42004917835
896,D2513,GUMDALE STREET PARK,B-RE-0335,23,GUMDALE STREET,WAKERLEY,4154,153.166577532135,-27.4898544048946,314.029804850299,5779.50397602629
897,D2532,TALL TREES CIRCUIT PARK,B-RE-0334,770,NEW CLEVELAND ROAD,GUMDALE,4154,153.158996106392,-27.4885720942637,1701.48070312794,76467.7323997455
